review_id,provider_id,clinic_id,reviewer_first_name,reviewer_initial,reviewer_age_range,reviewer_city,rating,review_title,review_text,treatment_tag,review_date,source_platform,source_url,response_from_provider,response_date
rev-50000014,prov-ca-00001,clinic-ca-00001,Aaron,K,50-54,Beverly Grove,5,Will be back,Explained every step and never upsold me. I finally look as rested as I feel.,Tear Trough,2024-09-13,vitals,https://yelp.example/r/14,,
rev-50000015,prov-ca-00001,clinic-ca-00001,Sarah,T,40-44,Beverly Grove,5,No more downtime worries,Booked a consult first and felt zero pressure. Already booked my follow-up.,Kybella,2024-07-15,yelp,https://healthgrades.example/r/15,,
rev-50000016,prov-ca-00001,clinic-ca-00001,Theo,H,25-29,Brentwood,5,Great masseter result,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Kybella,2026-04-28,clinic_site,https://zocdoc.example/r/16,,
rev-50000017,prov-ca-00001,clinic-ca-00001,James,C,45-49,West Hollywood,5,Worth every penny,Booked a consult first and felt zero pressure. Already booked my follow-up.,Dysport,2025-10-17,yelp,https://google.example/r/17,,
rev-50000018,prov-ca-00001,clinic-ca-00001,Victor,D,55-59,Studio City,5,Felt heard and informed,The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Sculptra,2025-06-26,zocdoc,https://zocdoc.example/r/18,"Thank you so much, see you at your next visit.",2024-12-25
rev-50000019,prov-ca-00002,clinic-ca-00001,Felix,M,45-49,Studio City,5,Subtle and balanced,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Xeomin,2025-01-16,google,https://healthgrades.example/r/19,,
rev-50000020,prov-ca-00002,clinic-ca-00001,Nina,L,55-59,Silver Lake,5,Clean and professional,Took the time to map my face before any injection. Healed fast with barely any bruising.,Xeomin,2025-10-04,yelp,https://vitals.example/r/20,,
rev-50000021,prov-ca-00002,clinic-ca-00001,Sarah,C,55-59,Studio City,5,Conservative approach I trust,Explained every step and never upsold me. No one has guessed I had anything done.,Masseter Botox,2025-03-14,google,https://yelp.example/r/21,,
rev-50000022,prov-ca-00002,clinic-ca-00001,Tessa,F,55-59,Studio City,5,Great masseter result,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Masseter Botox,2026-03-15,zocdoc,https://vitals.example/r/22,"We appreciate the kind words, it was a pleasure caring for you.",2026-04-27
rev-50000023,prov-ca-00002,clinic-ca-00001,Sofia,E,50-54,Beverly Grove,5,Best in the city,Walked me through the plan and the pricing up front. The result is subtle and natural.,Xeomin,2025-03-21,google,https://google.example/r/23,,
rev-50000024,prov-ca-00002,clinic-ca-00001,Lara,S,30-34,West Hollywood,5,"Looks like me, just rested",Honest about what would and would not help. Exactly the balanced look I wanted.,Xeomin,2025-10-09,yelp,https://healthgrades.example/r/24,"Thank you, we are glad you love your results.",2025-05-12
rev-50000025,prov-ca-00002,clinic-ca-00001,Hana,P,50-54,Brentwood,5,Natural and exactly right,Took the time to map my face before any injection. I finally look as rested as I feel.,Xeomin,2024-08-29,vitals,https://zocdoc.example/r/25,"We appreciate the kind words, it was a pleasure caring for you.",2024-08-08
rev-50000026,prov-ca-00002,clinic-ca-00001,Selena,S,45-49,Beverly Grove,5,Will be back,The whole team was warm and the office was spotless. The result is subtle and natural.,Masseter Botox,2025-02-19,healthgrades,https://zocdoc.example/r/26,,
rev-50000027,prov-ca-00002,clinic-ca-00001,Nina,B,50-54,Silver Lake,5,No more downtime worries,The whole team was warm and the office was spotless. Already booked my follow-up.,Masseter Botox,2025-04-28,yelp,https://clinic_site.example/r/27,,
rev-50000028,prov-ca-00002,clinic-ca-00001,Grace,N,50-54,Beverly Grove,5,Subtle and balanced,Honest about what would and would not help. Already booked my follow-up.,Xeomin,2026-03-20,yelp,https://clinic_site.example/r/28,,
rev-50000029,prov-ca-00002,clinic-ca-00001,Victor,E,35-39,Silver Lake,5,Subtle and balanced,Took the time to map my face before any injection. No one has guessed I had anything done.,Xeomin,2025-11-23,yelp,https://vitals.example/r/29,"Thank you, we are glad you love your results.",2025-09-10
rev-50000030,prov-ca-00002,clinic-ca-00001,Dahlia,P,55-59,Beverly Grove,4,Worth every penny,Booked a consult first and felt zero pressure. No one has guessed I had anything done.,Masseter Botox,2026-02-15,yelp,https://vitals.example/r/30,,
rev-50000031,prov-ca-00002,clinic-ca-00001,Renee,B,55-59,Silver Lake,5,"Looks like me, just rested",The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Masseter Botox,2025-04-01,clinic_site,https://vitals.example/r/31,,
rev-50000032,prov-ca-00002,clinic-ca-00001,Camila,S,55-59,Beverly Grove,5,Best in the city,Booked a consult first and felt zero pressure. Already booked my follow-up.,Xeomin,2026-04-25,vitals,https://healthgrades.example/r/32,,
rev-50000033,prov-ca-00002,clinic-ca-00001,Paul,B,25-29,Beverly Grove,5,Natural and exactly right,Took the time to map my face before any injection. Healed fast with barely any bruising.,Xeomin,2025-02-07,zocdoc,https://vitals.example/r/33,,
rev-50000034,prov-ca-00003,clinic-ca-00001,Nadia,G,55-59,West Hollywood,3,"Looks like me, just rested",Took the time to map my face before any injection. The result is subtle and natural.,Microneedling,2026-03-09,zocdoc,https://yelp.example/r/34,"Thank you, we are glad you love your results.",2025-07-19
rev-50000035,prov-ca-00003,clinic-ca-00001,Theo,S,45-49,West Hollywood,4,Natural and exactly right,Walked me through the plan and the pricing up front. Already booked my follow-up.,Microneedling,2026-01-23,healthgrades,https://healthgrades.example/r/35,,
rev-50000036,prov-ca-00003,clinic-ca-00001,Caleb,T,30-34,Brentwood,5,"Looks like me, just rested",Honest about what would and would not help. Already booked my follow-up.,Tear Trough,2025-04-26,zocdoc,https://yelp.example/r/36,,
rev-50000037,prov-ca-00003,clinic-ca-00001,Bianca,P,40-44,Studio City,5,Clean and professional,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Microneedling,2025-07-28,clinic_site,https://google.example/r/37,,
rev-50000038,prov-ca-00003,clinic-ca-00001,Leo,D,35-39,Beverly Grove,5,Will be back,Walked me through the plan and the pricing up front. The result is subtle and natural.,Daxxify,2024-09-03,google,https://google.example/r/38,"Thank you, we are glad you love your results.",2025-09-05
rev-50000039,prov-ca-00003,clinic-ca-00001,James,B,35-39,Studio City,4,Great masseter result,Honest about what would and would not help. I finally look as rested as I feel.,Sculptra,2025-01-16,healthgrades,https://yelp.example/r/39,,
rev-50000040,prov-ca-00003,clinic-ca-00001,Yara,N,50-54,West Hollywood,1,Will be back,Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,Tear Trough,2024-10-23,yelp,https://vitals.example/r/40,,
rev-50000041,prov-ca-00003,clinic-ca-00001,Grace,H,40-44,Beverly Grove,5,Will be back,Booked a consult first and felt zero pressure. Exactly the balanced look I wanted.,Tear Trough,2024-07-08,clinic_site,https://vitals.example/r/41,,
rev-50000042,prov-ca-00003,clinic-ca-00001,Isabel,D,40-44,Brentwood,4,Worth every penny,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,Daxxify,2025-06-21,yelp,https://vitals.example/r/42,,
rev-50000043,prov-ca-00003,clinic-ca-00001,Aaron,H,40-44,West Hollywood,5,Conservative approach I trust,Took the time to map my face before any injection. Already booked my follow-up.,Daxxify,2024-11-21,healthgrades,https://vitals.example/r/43,"We appreciate the kind words, it was a pleasure caring for you.",2024-11-22
rev-50000044,prov-ca-00003,clinic-ca-00001,Marcus,B,35-39,West Hollywood,5,Conservative approach I trust,Honest about what would and would not help. Already booked my follow-up.,Microneedling,2024-09-15,vitals,https://clinic_site.example/r/44,,
rev-50000045,prov-ca-00003,clinic-ca-00001,Caleb,B,30-34,Silver Lake,2,Conservative approach I trust,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Tear Trough,2024-12-24,clinic_site,https://zocdoc.example/r/45,,
rev-50000046,prov-ca-00003,clinic-ca-00001,Diego,F,35-39,Silver Lake,4,"Looks like me, just rested",Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,Sculptra,2025-04-24,healthgrades,https://healthgrades.example/r/46,"We appreciate the kind words, it was a pleasure caring for you.",2024-09-19
rev-50000047,prov-ca-00003,clinic-ca-00001,Isabel,N,25-29,West Hollywood,5,Conservative approach I trust,Booked a consult first and felt zero pressure. Already booked my follow-up.,Microneedling,2025-06-23,clinic_site,https://zocdoc.example/r/47,,
rev-50000048,prov-ca-00003,clinic-ca-00001,Yara,M,50-54,Studio City,5,Best in the city,Honest about what would and would not help. Exactly the balanced look I wanted.,Microneedling,2025-04-07,clinic_site,https://clinic_site.example/r/48,,
rev-50000049,prov-ca-00003,clinic-ca-00001,Noah,H,25-29,Silver Lake,5,Subtle and balanced,Explained every step and never upsold me. I finally look as rested as I feel.,Daxxify,2024-11-08,healthgrades,https://yelp.example/r/49,,
rev-50000050,prov-ca-00003,clinic-ca-00001,Priya,A,45-49,Beverly Grove,5,Felt heard and informed,Booked a consult first and felt zero pressure. Healed fast with barely any bruising.,Microneedling,2024-12-05,yelp,https://zocdoc.example/r/50,,
rev-50000051,prov-ca-00003,clinic-ca-00001,Camila,R,35-39,Beverly Grove,5,Worth every penny,Took the time to map my face before any injection. Already booked my follow-up.,Daxxify,2026-02-16,vitals,https://healthgrades.example/r/51,"We appreciate the kind words, it was a pleasure caring for you.",2025-06-14
rev-50000052,prov-ca-00003,clinic-ca-00001,Maya,H,25-29,Studio City,5,Best in the city,The whole team was warm and the office was spotless. No one has guessed I had anything done.,Tear Trough,2025-08-29,zocdoc,https://google.example/r/52,,
rev-50000053,prov-ca-00003,clinic-ca-00001,Priya,C,55-59,West Hollywood,5,No more downtime worries,Took the time to map my face before any injection. The result is subtle and natural.,Tear Trough,2024-12-16,vitals,https://clinic_site.example/r/53,"Thank you so much, see you at your next visit.",2024-09-09
rev-50000054,prov-ca-00003,clinic-ca-00001,Jonah,E,55-59,Studio City,5,Clean and professional,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Sculptra,2024-10-12,clinic_site,https://clinic_site.example/r/54,"We appreciate the kind words, it was a pleasure caring for you.",2025-05-31
rev-50000055,prov-ca-00003,clinic-ca-00001,Ruben,C,40-44,Brentwood,5,Natural and exactly right,The whole team was warm and the office was spotless. Already booked my follow-up.,Microneedling,2025-09-07,yelp,https://zocdoc.example/r/55,,
rev-50000056,prov-ca-00003,clinic-ca-00001,Felix,J,30-34,Silver Lake,5,No more downtime worries,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Tear Trough,2025-05-18,clinic_site,https://vitals.example/r/56,,
rev-50000057,prov-ca-00003,clinic-ca-00001,Daniel,C,50-54,West Hollywood,5,Natural and exactly right,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Daxxify,2025-01-28,zocdoc,https://zocdoc.example/r/57,"Thank you so much, see you at your next visit.",2025-10-02
rev-50000058,prov-ca-00003,clinic-ca-00001,Priya,S,50-54,Beverly Grove,5,Worth every penny,Took the time to map my face before any injection. Exactly the balanced look I wanted.,Microneedling,2026-03-11,yelp,https://google.example/r/58,"Thank you, we are glad you love your results.",2025-11-04
rev-50000059,prov-ca-00003,clinic-ca-00001,Renee,D,35-39,West Hollywood,5,Worth every penny,Booked a consult first and felt zero pressure. The result is subtle and natural.,Daxxify,2025-02-18,vitals,https://yelp.example/r/59,,
rev-50000060,prov-ca-00003,clinic-ca-00001,Noah,R,25-29,Silver Lake,5,Conservative approach I trust,Took the time to map my face before any injection. Healed fast with barely any bruising.,Sculptra,2024-09-29,healthgrades,https://healthgrades.example/r/60,,
rev-50000061,prov-ca-00003,clinic-ca-00001,Nina,D,55-59,Beverly Grove,5,Worth every penny,Booked a consult first and felt zero pressure. Already booked my follow-up.,Microneedling,2026-01-12,healthgrades,https://vitals.example/r/61,,
rev-50000062,prov-ca-00003,clinic-ca-00001,Tessa,T,40-44,Studio City,5,Clean and professional,Took the time to map my face before any injection. The result is subtle and natural.,Daxxify,2025-12-29,yelp,https://yelp.example/r/62,,
rev-50000063,prov-ca-00003,clinic-ca-00001,Daniel,S,40-44,West Hollywood,5,So happy with my results,Honest about what would and would not help. Already booked my follow-up.,Tear Trough,2025-12-27,vitals,https://clinic_site.example/r/63,,
rev-50000064,prov-ca-00004,clinic-ca-00001,Paul,D,50-54,Studio City,5,Subtle and balanced,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Cheek Filler,2026-05-15,healthgrades,https://vitals.example/r/64,"We appreciate the kind words, it was a pleasure caring for you.",2024-11-30
rev-50000065,prov-ca-00004,clinic-ca-00001,Noah,T,50-54,West Hollywood,4,Best in the city,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Sculptra,2025-04-06,zocdoc,https://healthgrades.example/r/65,"We appreciate the kind words, it was a pleasure caring for you.",2024-08-28
rev-50000066,prov-ca-00004,clinic-ca-00001,Theo,F,45-49,Beverly Grove,5,Great masseter result,Booked a consult first and felt zero pressure. The result is subtle and natural.,Sculptra,2025-08-24,google,https://vitals.example/r/66,,
rev-50000067,prov-ca-00004,clinic-ca-00001,Daniel,K,50-54,Beverly Grove,5,"Looks like me, just rested",Walked me through the plan and the pricing up front. No one has guessed I had anything done.,Cheek Filler,2025-04-15,google,https://yelp.example/r/67,,
rev-50000068,prov-ca-00004,clinic-ca-00001,Renee,L,50-54,Silver Lake,5,"Looks like me, just rested",Honest about what would and would not help. The result is subtle and natural.,Dysport,2026-05-20,yelp,https://healthgrades.example/r/68,"We appreciate the kind words, it was a pleasure caring for you.",2026-01-16
rev-50000069,prov-ca-00004,clinic-ca-00001,Caleb,L,30-34,Beverly Grove,5,Felt heard and informed,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Sculptra,2025-03-22,vitals,https://clinic_site.example/r/69,"Thank you so much, see you at your next visit.",2026-02-27
rev-50000070,prov-ca-00005,clinic-ca-00002,Paul,M,35-39,Nob Hill,5,Clean and professional,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,Masseter Botox,2025-05-01,clinic_site,https://yelp.example/r/70,,
rev-50000071,prov-ca-00005,clinic-ca-00002,Aaron,J,40-44,SoMa,5,Great masseter result,Honest about what would and would not help. I finally look as rested as I feel.,Masseter Botox,2024-12-09,zocdoc,https://google.example/r/71,,
rev-50000072,prov-ca-00005,clinic-ca-00002,Felix,F,35-39,SoMa,5,Best in the city,Took the time to map my face before any injection. Already booked my follow-up.,Masseter Botox,2024-10-07,zocdoc,https://zocdoc.example/r/72,,
rev-50000073,prov-ca-00005,clinic-ca-00002,Nina,M,55-59,SoMa,5,Natural and exactly right,Booked a consult first and felt zero pressure. Healed fast with barely any bruising.,Masseter Botox,2024-11-27,yelp,https://google.example/r/73,,
rev-50000074,prov-ca-00005,clinic-ca-00002,Ruben,T,50-54,Pacific Heights,5,Worth every penny,The whole team was warm and the office was spotless. Already booked my follow-up.,Cheek Filler,2024-11-15,zocdoc,https://clinic_site.example/r/74,,
rev-50000075,prov-ca-00005,clinic-ca-00002,Tessa,L,45-49,Pacific Heights,3,Great masseter result,Honest about what would and would not help. Healed fast with barely any bruising.,Cheek Filler,2024-11-16,healthgrades,https://zocdoc.example/r/75,,
rev-50000076,prov-ca-00005,clinic-ca-00002,James,M,40-44,Marina District,5,Will be back,Took the time to map my face before any injection. I finally look as rested as I feel.,Microneedling,2024-08-26,google,https://yelp.example/r/76,,
rev-50000077,prov-ca-00005,clinic-ca-00002,Daniel,C,55-59,Marina District,5,Subtle and balanced,Honest about what would and would not help. Healed fast with barely any bruising.,Cheek Filler,2025-10-13,google,https://zocdoc.example/r/77,,
rev-50000078,prov-ca-00005,clinic-ca-00002,Olivia,G,30-34,Nob Hill,3,No more downtime worries,Took the time to map my face before any injection. Healed fast with barely any bruising.,Masseter Botox,2025-06-20,healthgrades,https://vitals.example/r/78,,
rev-50000079,prov-ca-00005,clinic-ca-00002,Adrian,C,40-44,Nob Hill,5,Conservative approach I trust,Explained every step and never upsold me. I finally look as rested as I feel.,Microneedling,2026-02-22,clinic_site,https://zocdoc.example/r/79,,
rev-50000080,prov-ca-00005,clinic-ca-00002,Jonah,P,55-59,SoMa,5,Worth every penny,Walked me through the plan and the pricing up front. I finally look as rested as I feel.,Cheek Filler,2025-11-28,zocdoc,https://vitals.example/r/80,,
rev-50000081,prov-ca-00005,clinic-ca-00002,David,C,45-49,Pacific Heights,5,Natural and exactly right,Took the time to map my face before any injection. Already booked my follow-up.,Cheek Filler,2025-01-22,google,https://zocdoc.example/r/81,,
rev-50000082,prov-ca-00005,clinic-ca-00002,Yara,N,45-49,Hayes Valley,5,Clean and professional,The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Masseter Botox,2024-09-30,zocdoc,https://healthgrades.example/r/82,"We appreciate the kind words, it was a pleasure caring for you.",2025-10-09
rev-50000083,prov-ca-00005,clinic-ca-00002,Paul,A,25-29,Nob Hill,5,Best in the city,The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Cheek Filler,2025-10-04,google,https://yelp.example/r/83,"We appreciate the kind words, it was a pleasure caring for you.",2024-12-01
rev-50000084,prov-ca-00005,clinic-ca-00002,Theo,P,50-54,Nob Hill,4,Natural and exactly right,Honest about what would and would not help. Already booked my follow-up.,Cheek Filler,2025-11-17,healthgrades,https://zocdoc.example/r/84,"Thank you, we are glad you love your results.",2025-06-15
rev-50000085,prov-ca-00005,clinic-ca-00002,Grace,A,30-34,Hayes Valley,5,Will be back,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Microneedling,2026-01-19,zocdoc,https://google.example/r/85,,
rev-50000086,prov-ca-00005,clinic-ca-00002,Selena,K,55-59,SoMa,4,Worth every penny,Took the time to map my face before any injection. The result is subtle and natural.,Masseter Botox,2025-07-15,vitals,https://clinic_site.example/r/86,,
rev-50000087,prov-ca-00005,clinic-ca-00002,Omar,R,35-39,Pacific Heights,5,Natural and exactly right,Honest about what would and would not help. Exactly the balanced look I wanted.,Cheek Filler,2025-05-05,healthgrades,https://vitals.example/r/87,,
rev-50000088,prov-ca-00005,clinic-ca-00002,Camila,P,45-49,Pacific Heights,5,Natural and exactly right,Walked me through the plan and the pricing up front. No one has guessed I had anything done.,Cheek Filler,2026-04-30,zocdoc,https://clinic_site.example/r/88,,
rev-50000089,prov-ca-00005,clinic-ca-00002,Anya,D,35-39,SoMa,5,Best in the city,Took the time to map my face before any injection. The result is subtle and natural.,Masseter Botox,2025-10-30,yelp,https://zocdoc.example/r/89,"Thank you so much, see you at your next visit.",2025-04-19
rev-50000090,prov-ca-00005,clinic-ca-00002,Camila,F,30-34,Nob Hill,5,Natural and exactly right,Walked me through the plan and the pricing up front. Already booked my follow-up.,Microneedling,2025-03-06,healthgrades,https://healthgrades.example/r/90,"Thank you, we are glad you love your results.",2025-05-12
rev-50000091,prov-ca-00005,clinic-ca-00002,Grace,B,50-54,Pacific Heights,5,No more downtime worries,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Microneedling,2024-09-11,google,https://zocdoc.example/r/91,,
rev-50000092,prov-ca-00005,clinic-ca-00002,Sofia,S,35-39,SoMa,5,Great masseter result,Booked a consult first and felt zero pressure. I finally look as rested as I feel.,Masseter Botox,2026-06-06,clinic_site,https://vitals.example/r/92,,
rev-50000093,prov-ca-00005,clinic-ca-00002,Adrian,S,35-39,Marina District,5,Will be back,Honest about what would and would not help. The result is subtle and natural.,Cheek Filler,2024-09-03,vitals,https://zocdoc.example/r/93,,
rev-50000094,prov-ca-00005,clinic-ca-00002,Leo,N,45-49,SoMa,5,Felt heard and informed,Booked a consult first and felt zero pressure. Already booked my follow-up.,Microneedling,2024-08-24,vitals,https://zocdoc.example/r/94,,
rev-50000095,prov-ca-00005,clinic-ca-00002,Leo,L,40-44,Hayes Valley,5,Worth every penny,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Masseter Botox,2026-02-25,google,https://google.example/r/95,,
rev-50000096,prov-ca-00006,clinic-ca-00003,Paul,A,25-29,Hillcrest,5,Great masseter result,The whole team was warm and the office was spotless. Healed fast with barely any bruising.,Xeomin,2025-03-27,zocdoc,https://vitals.example/r/96,,
rev-50000097,prov-ca-00006,clinic-ca-00003,Omar,A,35-39,La Jolla,1,Conservative approach I trust,Walked me through the plan and the pricing up front. Healed fast with barely any bruising.,Thread Lift,2024-10-29,google,https://zocdoc.example/r/97,,
rev-50000098,prov-ca-00006,clinic-ca-00003,Hana,F,55-59,Gaslamp Quarter,5,Natural and exactly right,Took the time to map my face before any injection. I finally look as rested as I feel.,Xeomin,2026-02-28,google,https://clinic_site.example/r/98,"We appreciate the kind words, it was a pleasure caring for you.",2025-04-13
rev-50000099,prov-ca-00006,clinic-ca-00003,Aaron,D,25-29,Gaslamp Quarter,5,Great masseter result,Honest about what would and would not help. I finally look as rested as I feel.,Xeomin,2025-12-15,vitals,https://vitals.example/r/99,,
rev-50000100,prov-ca-00006,clinic-ca-00003,Claire,F,55-59,Gaslamp Quarter,5,"Looks like me, just rested",Took the time to map my face before any injection. The result is subtle and natural.,Sculptra,2026-02-15,healthgrades,https://zocdoc.example/r/100,,
rev-50000101,prov-ca-00006,clinic-ca-00003,Sarah,R,45-49,Hillcrest,5,Best in the city,Booked a consult first and felt zero pressure. The result is subtle and natural.,Thread Lift,2025-11-21,zocdoc,https://healthgrades.example/r/101,,
rev-50000102,prov-ca-00006,clinic-ca-00003,Diego,J,50-54,Hillcrest,5,So happy with my results,Explained every step and never upsold me. Exactly the balanced look I wanted.,Sculptra,2025-01-07,vitals,https://yelp.example/r/102,,
rev-50000103,prov-ca-00006,clinic-ca-00003,James,K,50-54,Gaslamp Quarter,5,Felt heard and informed,The whole team was warm and the office was spotless. The result is subtle and natural.,Xeomin,2026-01-08,zocdoc,https://healthgrades.example/r/103,,
rev-50000104,prov-ca-00006,clinic-ca-00003,Aaron,S,25-29,Gaslamp Quarter,5,Great masseter result,Took the time to map my face before any injection. I finally look as rested as I feel.,Thread Lift,2025-06-22,vitals,https://google.example/r/104,,
rev-50000105,prov-ca-00006,clinic-ca-00003,Daniel,M,35-39,La Jolla,2,Worth every penny,Explained every step and never upsold me. The result is subtle and natural.,Xeomin,2024-12-11,healthgrades,https://yelp.example/r/105,,
rev-50000106,prov-ca-00006,clinic-ca-00003,Daniel,G,25-29,Hillcrest,5,Worth every penny,Explained every step and never upsold me. Exactly the balanced look I wanted.,Thread Lift,2025-06-25,google,https://vitals.example/r/106,,
rev-50000107,prov-ca-00006,clinic-ca-00003,Sarah,P,35-39,La Jolla,5,"Looks like me, just rested",The whole team was warm and the office was spotless. Exactly the balanced look I wanted.,Thread Lift,2026-02-11,clinic_site,https://vitals.example/r/107,,
rev-50000108,prov-ca-00006,clinic-ca-00003,Priya,P,50-54,Hillcrest,5,Great masseter result,Explained every step and never upsold me. Already booked my follow-up.,Xeomin,2025-11-06,zocdoc,https://yelp.example/r/108,,
rev-50000109,prov-ca-00006,clinic-ca-00003,Diego,J,35-39,Little Italy,5,Natural and exactly right,Honest about what would and would not help. Already booked my follow-up.,Xeomin,2024-10-19,clinic_site,https://vitals.example/r/109,,
rev-50000110,prov-ca-00007,clinic-ca-00004,Daniel,J,35-39,Studio City,5,Best in the city,Honest about what would and would not help. Exactly the balanced look I wanted.,Cheek Filler,2025-05-25,healthgrades,https://zocdoc.example/r/110,,
rev-50000111,prov-ca-00007,clinic-ca-00004,Ethan,B,30-34,Silver Lake,5,Felt heard and informed,Took the time to map my face before any injection. No one has guessed I had anything done.,Sculptra,2025-12-08,healthgrades,https://healthgrades.example/r/111,"We appreciate the kind words, it was a pleasure caring for you.",2025-09-07
rev-50000112,prov-ca-00007,clinic-ca-00004,Aaron,C,40-44,Beverly Grove,5,Natural and exactly right,Booked a consult first and felt zero pressure. No one has guessed I had anything done.,Cheek Filler,2024-09-13,vitals,https://clinic_site.example/r/112,,
rev-50000113,prov-ca-00007,clinic-ca-00004,Camila,B,45-49,Silver Lake,5,Will be back,Walked me through the plan and the pricing up front. The result is subtle and natural.,Sculptra,2025-11-03,google,https://google.example/r/113,"We appreciate the kind words, it was a pleasure caring for you.",2024-08-14
rev-50000114,prov-ca-00007,clinic-ca-00004,Aaron,P,30-34,West Hollywood,5,So happy with my results,Honest about what would and would not help. No one has guessed I had anything done.,Jeuveau,2025-10-16,healthgrades,https://zocdoc.example/r/114,,
rev-50000115,prov-ca-00007,clinic-ca-00004,Camila,B,40-44,West Hollywood,1,Best in the city,Honest about what would and would not help. Already booked my follow-up.,Sculptra,2026-02-16,healthgrades,https://clinic_site.example/r/115,,
rev-50000116,prov-ca-00007,clinic-ca-00004,Sarah,G,50-54,Studio City,5,No more downtime worries,Booked a consult first and felt zero pressure. No one has guessed I had anything done.,Tear Trough,2026-04-16,google,https://clinic_site.example/r/116,"Thank you, we are glad you love your results.",2024-07-31
