clinic_id,clinic_name,tagline,description,address_line_1,address_line_2,city,state,zip,neighborhood,county,country,latitude,longitude,google_place_id,google_maps_url,directions_url,apple_maps_url,phone,email,website_url,booking_url,hours_json,service_type,accepts_insurance,payment_methods,amenities,logo_url,clinic_photo_urls,aggregate_rating,aggregate_rating_count,provider_ids,year_established,source_urls,last_scraped_date
clinic-ca-00011,Sunset Cosmetic Clinic SoMa,Hayes Valley injectable specialists.,"A Hayes Valley practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9084 Magnolia Avenue,,San Francisco,CA,94115,Hayes Valley,San Francisco County,US,37.75963,-122.448903,ChIJca8_sdjVeQsARFePLy,https://maps.google.com/?cid=27028628,"https://www.google.com/maps/dir/?api=1&destination=37.75963,-122.448903","https://maps.apple.com/?ll=37.75963,-122.448903",+16195550115,hello@sunsetcosmeticclinicsoma.example,https://sunsetcosmeticclinicsoma.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,true,Mastercard; Amex; Cherry,Private suites; Wheelchair accessible; Wi-Fi,https://picsum.photos/seed/clinic-ca-00011-logo/200/200,https://picsum.photos/seed/clinic-ca-00011-a/600/400; https://picsum.photos/seed/clinic-ca-00011-b/600/400,4.4,358,prov-ca-00025; prov-ca-00026; prov-ca-00027,2021,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00012,Marble Dermatology Gaslamp,La Jolla injectable specialists.,"A La Jolla practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",4451 Harbor Boulevard,,San Diego,CA,92117,La Jolla,San Diego County,US,32.740736,-117.188971,ChIJcawMrX8znxnPBRGvnc,https://maps.google.com/?cid=93031991,"https://www.google.com/maps/dir/?api=1&destination=32.740736,-117.188971","https://maps.apple.com/?ll=32.740736,-117.188971",+13105550197,hello@marbledermatologygaslamp.example,https://marbledermatologygaslamp.example,https://marbledermatologygaslamp.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Cherry; Amex; Mastercard,Virtual consults; Wheelchair accessible; Private suites; Wi-Fi,https://picsum.photos/seed/clinic-ca-00012-logo/200/200,https://picsum.photos/seed/clinic-ca-00012-a/600/400; https://picsum.photos/seed/clinic-ca-00012-b/600/400,4.5,71,prov-ca-00028,2017,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00013,Madison Aesthetics Silver,Beverly Grove injectable specialists.,"A Beverly Grove practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",6446 Cedar Avenue,,Los Angeles,CA,90023,Beverly Grove,Los Angeles County,US,34.026808,-118.221056,ChIJcaVtwtuDmAbdTVaV5Z,https://maps.google.com/?cid=64196073,"https://www.google.com/maps/dir/?api=1&destination=34.026808,-118.221056","https://maps.apple.com/?ll=34.026808,-118.221056",+13105550141,hello@madisonaestheticssilver.example,https://madisonaestheticssilver.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Visa; Mastercard; Amex,Parking; Wheelchair accessible; Virtual consults,https://picsum.photos/seed/clinic-ca-00013-logo/200/200,https://picsum.photos/seed/clinic-ca-00013-a/600/400; https://picsum.photos/seed/clinic-ca-00013-b/600/400,4.7,436,prov-ca-00029,2007,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00014,Verde Aesthetics Nob,Hayes Valley injectable specialists.,"A Hayes Valley practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",711 Sunset Street,,San Francisco,CA,94131,Hayes Valley,San Francisco County,US,37.803597,-122.422998,ChIJcaLLOzmdh2Grq9wxnB,https://maps.google.com/?cid=86980727,"https://www.google.com/maps/dir/?api=1&destination=37.803597,-122.422998","https://maps.apple.com/?ll=37.803597,-122.422998",+14155550187,hello@verdeaestheticsnob.example,https://verdeaestheticsnob.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Visa; Amex; Mastercard; Care Credit,Wi-Fi; Wheelchair accessible; Parking; Virtual consults,https://picsum.photos/seed/clinic-ca-00014-logo/200/200,https://picsum.photos/seed/clinic-ca-00014-a/600/400; https://picsum.photos/seed/clinic-ca-00014-b/600/400,4.4,122,prov-ca-00030,2018,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00015,Coastal Skin & Laser Gaslamp,La Jolla injectable specialists.,"A La Jolla practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9079 Lake Boulevard,Suite 411,San Diego,CA,92103,La Jolla,San Diego County,US,32.713442,-117.17398,ChIJca5tyCC0bvChuaznGP,https://maps.google.com/?cid=17462708,"https://www.google.com/maps/dir/?api=1&destination=32.713442,-117.17398","https://maps.apple.com/?ll=32.713442,-117.17398",+12135550187,hello@coastalskinlasergaslamp.example,https://coastalskinlasergaslamp.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Visa; Care Credit,Private suites; Parking,https://picsum.photos/seed/clinic-ca-00015-logo/200/200,https://picsum.photos/seed/clinic-ca-00015-a/600/400; https://picsum.photos/seed/clinic-ca-00015-b/600/400,5.0,479,prov-ca-00031; prov-ca-00032,2009,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00016,Crescent Med Spa West,Brentwood injectable specialists.,"A Brentwood practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",3368 Magnolia Street,Suite 709,Los Angeles,CA,90023,Brentwood,Los Angeles County,US,34.025217,-118.233031,ChIJcan_C8fqB-Mh_QmqMd,https://maps.google.com/?cid=92620378,"https://www.google.com/maps/dir/?api=1&destination=34.025217,-118.233031","https://maps.apple.com/?ll=34.025217,-118.233031",+16195550155,hello@crescentmedspawest.example,https://crescentmedspawest.example,https://crescentmedspawest.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Cherry; Care Credit; Amex,Wi-Fi; Virtual consults; Private suites,https://picsum.photos/seed/clinic-ca-00016-logo/200/200,https://picsum.photos/seed/clinic-ca-00016-a/600/400; https://picsum.photos/seed/clinic-ca-00016-b/600/400,4.8,263,prov-ca-00033; prov-ca-00034; prov-ca-00035; prov-ca-00036,2018,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00017,Aurora Skin Studio Hayes,Marina District injectable specialists.,"A Marina District practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",1139 Oak Boulevard,,San Francisco,CA,94124,Marina District,San Francisco County,US,37.812525,-122.456941,ChIJcaN7gqlN5YAIStO0oS,https://maps.google.com/?cid=16539045,"https://www.google.com/maps/dir/?api=1&destination=37.812525,-122.456941","https://maps.apple.com/?ll=37.812525,-122.456941",+12135550196,hello@auroraskinstudiohayes.example,https://auroraskinstudiohayes.example,https://auroraskinstudiohayes.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Amex; Visa; Care Credit; Mastercard,Virtual consults; Wi-Fi; Wheelchair accessible; Parking,https://picsum.photos/seed/clinic-ca-00017-logo/200/200,https://picsum.photos/seed/clinic-ca-00017-a/600/400; https://picsum.photos/seed/clinic-ca-00017-b/600/400,4.5,381,prov-ca-00037; prov-ca-00038; prov-ca-00039,2020,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00018,Bayou Aesthetics Hillcrest,La Jolla injectable specialists.,"A La Jolla practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",4995 Magnolia Boulevard,,San Diego,CA,92123,La Jolla,San Diego County,US,32.689388,-117.131949,ChIJcaV6yrkVVUhC4gzYrB,https://maps.google.com/?cid=12056879,"https://www.google.com/maps/dir/?api=1&destination=32.689388,-117.131949","https://maps.apple.com/?ll=32.689388,-117.131949",+13105550145,hello@bayouaestheticshillcrest.example,https://bayouaestheticshillcrest.example,https://bayouaestheticshillcrest.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Care Credit; Visa; Amex; Cherry,Parking; Virtual consults; Wi-Fi,https://picsum.photos/seed/clinic-ca-00018-logo/200/200,https://picsum.photos/seed/clinic-ca-00018-a/600/400; https://picsum.photos/seed/clinic-ca-00018-b/600/400,4.1,120,prov-ca-00040; prov-ca-00041,2020,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00001,Mosaic Aesthetic Medicine The,The Heights injectable specialists.,"A The Heights practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",6106 Lake Avenue,Suite 594,Houston,TX,77031,The Heights,Harris County,US,29.725149,-95.357435,ChIJtxiUeimfsWLaHUZxyt,https://maps.google.com/?cid=61607860,"https://www.google.com/maps/dir/?api=1&destination=29.725149,-95.357435","https://maps.apple.com/?ll=29.725149,-95.357435",+12105550135,hello@mosaicaestheticmedicinethe.example,https://mosaicaestheticmedicinethe.example,https://mosaicaestheticmedicinethe.example/book,,In-Person,false,Cherry; Mastercard; Care Credit; Visa,Virtual consults; Parking; Wheelchair accessible; Wi-Fi,https://picsum.photos/seed/clinic-tx-00001-logo/200/200,https://picsum.photos/seed/clinic-tx-00001-a/600/400; https://picsum.photos/seed/clinic-tx-00001-b/600/400,4.7,142,prov-tx-00042; prov-tx-00043; prov-tx-00044; prov-tx-00045,2007,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00002,Vista Skin & Laser Knox-Henderson,Deep Ellum injectable specialists.,"A Deep Ellum practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",1015 Park Avenue,,Dallas,TX,75216,Deep Ellum,Dallas County,US,32.745867,-96.760644,ChIJtxClvzR8VPCfRTyqqR,https://maps.google.com/?cid=57209401,"https://www.google.com/maps/dir/?api=1&destination=32.745867,-96.760644","https://maps.apple.com/?ll=32.745867,-96.760644",+15125550155,hello@vistaskinlaserknoxhenderson.example,https://vistaskinlaserknoxhenderson.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Cherry; Mastercard,Wi-Fi; Virtual consults,https://picsum.photos/seed/clinic-tx-00002-logo/200/200,https://picsum.photos/seed/clinic-tx-00002-a/600/400; https://picsum.photos/seed/clinic-tx-00002-b/600/400,4.4,464,prov-tx-00046; prov-tx-00047; prov-tx-00048; prov-tx-00049,2008,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00003,Onyx Dermatology Downtown,South Congress injectable specialists.,"A South Congress practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",5382 Cedar Avenue,Suite 119,Austin,TX,78717,South Congress,Travis County,US,30.272553,-97.746397,ChIJtxT8HastueFNPeHC1u,https://maps.google.com/?cid=72836475,"https://www.google.com/maps/dir/?api=1&destination=30.272553,-97.746397","https://maps.apple.com/?ll=30.272553,-97.746397",+17135550157,hello@onyxdermatologydowntown.example,https://onyxdermatologydowntown.example,https://onyxdermatologydowntown.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Care Credit; Visa,Virtual consults; Wi-Fi; Wheelchair accessible,https://picsum.photos/seed/clinic-tx-00003-logo/200/200,https://picsum.photos/seed/clinic-tx-00003-a/600/400; https://picsum.photos/seed/clinic-tx-00003-b/600/400,4.8,48,prov-tx-00050; prov-tx-00051; prov-tx-00052,2020,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00004,Halcyon Injectables The,The Heights injectable specialists.,"A The Heights practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",4570 Oak Boulevard,,Houston,TX,77007,The Heights,Harris County,US,29.785373,-95.380998,ChIJtxH2Y80JTzIVKBO5Cd,https://maps.google.com/?cid=95560110,"https://www.google.com/maps/dir/?api=1&destination=29.785373,-95.380998","https://maps.apple.com/?ll=29.785373,-95.380998",+12145550115,hello@halcyoninjectablesthe.example,https://halcyoninjectablesthe.example,https://halcyoninjectablesthe.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Mastercard; Visa,Private suites; Wi-Fi; Wheelchair accessible; Parking,https://picsum.photos/seed/clinic-tx-00004-logo/200/200,https://picsum.photos/seed/clinic-tx-00004-a/600/400; https://picsum.photos/seed/clinic-tx-00004-b/600/400,4.5,368,prov-tx-00053; prov-tx-00054,2010,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00005,Bayou Cosmetic Clinic Deep,Deep Ellum injectable specialists.,"A Deep Ellum practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",2935 Park Drive,,Dallas,TX,75223,Deep Ellum,Dallas County,US,32.767001,-96.818256,ChIJtxb-pEC3u76XHw_KBf,https://maps.google.com/?cid=70355843,"https://www.google.com/maps/dir/?api=1&destination=32.767001,-96.818256","https://maps.apple.com/?ll=32.767001,-96.818256",+15125550197,hello@bayoucosmeticclinicdeep.example,https://bayoucosmeticclinicdeep.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Care Credit; Mastercard; Cherry; Visa,Wheelchair accessible; Private suites,https://picsum.photos/seed/clinic-tx-00005-logo/200/200,https://picsum.photos/seed/clinic-tx-00005-a/600/400; https://picsum.photos/seed/clinic-tx-00005-b/600/400,4.3,267,prov-tx-00055,2019,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00006,Onyx Dermatology Westlake,Westlake injectable specialists.,"A Westlake practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",6930 Harbor Avenue,Suite 622,Austin,TX,78716,Westlake,Travis County,US,30.300988,-97.739242,ChIJtxIxvENXXyHskZtLP8,https://maps.google.com/?cid=96345618,"https://www.google.com/maps/dir/?api=1&destination=30.300988,-97.739242","https://maps.apple.com/?ll=30.300988,-97.739242",+15125550168,hello@onyxdermatologywestlake.example,https://onyxdermatologywestlake.example,https://onyxdermatologywestlake.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Mastercard; Cherry; Care Credit,Wheelchair accessible; Wi-Fi,https://picsum.photos/seed/clinic-tx-00006-logo/200/200,https://picsum.photos/seed/clinic-tx-00006-a/600/400; https://picsum.photos/seed/clinic-tx-00006-b/600/400,4.7,219,prov-tx-00056; prov-tx-00057; prov-tx-00058,2010,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00007,Madison Skin Studio River,River Oaks injectable specialists.,"A River Oaks practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9898 Magnolia Drive,Suite 563,Houston,TX,77021,River Oaks,Harris County,US,29.770195,-95.391189,ChIJtxsOo0MviVaOWZqrz3,https://maps.google.com/?cid=34725247,"https://www.google.com/maps/dir/?api=1&destination=29.770195,-95.391189","https://maps.apple.com/?ll=29.770195,-95.391189",+15125550121,hello@madisonskinstudioriver.example,https://madisonskinstudioriver.example,,,Both,false,Amex; Visa; Care Credit,Wheelchair accessible; Wi-Fi; Private suites,https://picsum.photos/seed/clinic-tx-00007-logo/200/200,https://picsum.photos/seed/clinic-tx-00007-a/600/400; https://picsum.photos/seed/clinic-tx-00007-b/600/400,4.4,358,prov-tx-00059,2020,https://injector.world/fake-dataset,2026-06-08
clinic-tx-00008,Mosaic Med Spa Highland,Knox-Henderson injectable specialists.,"A Knox-Henderson practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",2771 Lake Boulevard,,Dallas,TX,75218,Knox-Henderson,Dallas County,US,32.799664,-96.809744,ChIJtxL9ZmA7Xqem6fLVWb,https://maps.google.com/?cid=50680570,"https://www.google.com/maps/dir/?api=1&destination=32.799664,-96.809744","https://maps.apple.com/?ll=32.799664,-96.809744",+12105550188,hello@mosaicmedspahighland.example,https://mosaicmedspahighland.example,https://mosaicmedspahighland.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Amex; Visa; Cherry,Private suites; Wheelchair accessible; Virtual consults; Wi-Fi,https://picsum.photos/seed/clinic-tx-00008-logo/200/200,https://picsum.photos/seed/clinic-tx-00008-a/600/400; https://picsum.photos/seed/clinic-tx-00008-b/600/400,4.1,52,prov-tx-00060; prov-tx-00061,2014,https://injector.world/fake-dataset,2026-06-08
