qa_id,question_title,question_text,answered_by_provider_id,answered_by_name,answer_text,treatment_tag,city_tag,source_platform,source_url,date
qa-00000011,Does Dysport hurt?,A patient asks: does dysport hurt?,prov-fault-00993,,"Discomfort with Dysport is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Dysport,New York,clinic_blog,https://injector.world/fake-dataset/qa/11,2026-03-27
qa-00000012,Am I a good candidate for Cheek Filler?,A patient asks: am i a good candidate for cheek filler?,prov-ny-00090,,A good candidate for Cheek Filler is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Cheek Filler,New York,clinic_blog,https://injector.world/fake-dataset/qa/12,2025-02-21
qa-00000013,Is there downtime after Tear Trough?,A patient asks: is there downtime after tear trough?,prov-tx-00052,,Downtime for Tear Trough is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Tear Trough,Austin,directory,https://injector.world/fake-dataset/qa/13,2025-06-14
qa-00000014,How long does Jawline Filler last?,A patient asks: how long does jawline filler last?,prov-fl-00132,,"For most patients Jawline Filler results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Jawline Filler,Miami,directory,https://injector.world/fake-dataset/qa/14,2025-08-26
qa-00000015,Does Xeomin hurt?,A patient asks: does xeomin hurt?,prov-ny-00096,,"Discomfort with Xeomin is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Xeomin,New York,clinic_blog,https://injector.world/fake-dataset/qa/15,2026-01-20
qa-00000016,How long does Microneedling last?,A patient asks: how long does microneedling last?,,Dr. Hana Bauer,"For most patients Microneedling results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Microneedling,Dallas,directory,https://injector.world/fake-dataset/qa/16,2026-03-31
qa-00000017,Am I a good candidate for Sculptra?,A patient asks: am i a good candidate for sculptra?,prov-tx-00079,,A good candidate for Sculptra is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Sculptra,Dallas,forum,https://injector.world/fake-dataset/qa/17,2025-08-19
qa-00000018,Is there downtime after Lip Filler?,A patient asks: is there downtime after lip filler?,prov-ca-00028,,Downtime for Lip Filler is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Lip Filler,San Diego,clinic_blog,https://injector.world/fake-dataset/qa/18,2026-01-28
qa-00000019,How long does Dysport last?,A patient asks: how long does dysport last?,prov-fault-00912,,"For most patients Dysport results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Dysport,Buffalo,forum,https://injector.world/fake-dataset/qa/19,2025-11-03
qa-00000020,How long does Masseter Botox last?,A patient asks: how long does masseter botox last?,prov-ny-00100,,"For most patients Masseter Botox results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Masseter Botox,New York,clinic_blog,https://injector.world/fake-dataset/qa/20,2025-04-01
qa-00000021,Am I a good candidate for Masseter Botox?,A patient asks: am i a good candidate for masseter botox?,,Dr. Grace Nair,A good candidate for Masseter Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Masseter Botox,Miami,directory,https://injector.world/fake-dataset/qa/21,2025-07-09
qa-00000022,Am I a good candidate for Jawline Filler?,A patient asks: am i a good candidate for jawline filler?,prov-ny-00095,,A good candidate for Jawline Filler is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Jawline Filler,New York,clinic_blog,https://injector.world/fake-dataset/qa/22,2026-04-01
qa-00000023,Does Dysport hurt?,A patient asks: does dysport hurt?,prov-fault-00947,,"Discomfort with Dysport is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Dysport,Los Angeles,directory,https://injector.world/fake-dataset/qa/23,2026-02-06
qa-00000024,Am I a good candidate for Jeuveau?,A patient asks: am i a good candidate for jeuveau?,prov-tx-00058,,A good candidate for Jeuveau is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Jeuveau,Austin,forum,https://injector.world/fake-dataset/qa/24,2025-12-24
qa-00000025,How long does Jeuveau last?,A patient asks: how long does jeuveau last?,prov-fault-00939,,"For most patients Jeuveau results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Jeuveau,Miami,directory,https://injector.world/fake-dataset/qa/25,2025-08-03
qa-00000026,Is there downtime after Kybella?,A patient asks: is there downtime after kybella?,,Dr. Selena Bauer,Downtime for Kybella is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Kybella,New York,forum,https://injector.world/fake-dataset/qa/26,2025-01-28
qa-00000027,Does PRP hurt?,A patient asks: does prp hurt?,,Dr. Tessa Nair,"Discomfort with PRP is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",PRP,San Diego,clinic_blog,https://injector.world/fake-dataset/qa/27,2025-01-25
qa-00000028,Is there downtime after Daxxify?,A patient asks: is there downtime after daxxify?,prov-ny-00095,,Downtime for Daxxify is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Daxxify,New York,forum,https://injector.world/fake-dataset/qa/28,2025-03-22
qa-00000029,Does Jawline Filler hurt?,A patient asks: does jawline filler hurt?,prov-ca-00002,,"Discomfort with Jawline Filler is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Jawline Filler,Los Angeles,clinic_blog,https://injector.world/fake-dataset/qa/29,2025-12-10
qa-00000030,How long does Microneedling last?,A patient asks: how long does microneedling last?,,Dr. Theo Lindqvist,"For most patients Microneedling results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Microneedling,Buffalo,forum,https://injector.world/fake-dataset/qa/30,2025-07-14
qa-00000031,Is there downtime after Botox?,A patient asks: is there downtime after botox?,prov-tx-00086,,Downtime for Botox is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Botox,Houston,clinic_blog,https://injector.world/fake-dataset/qa/31,2025-05-15
qa-00000032,Is there downtime after Microneedling?,A patient asks: is there downtime after microneedling?,,Dr. Nina Patel,Downtime for Microneedling is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Microneedling,Buffalo,clinic_blog,https://injector.world/fake-dataset/qa/32,2025-10-06
qa-00000033,Does Jeuveau hurt?,A patient asks: does jeuveau hurt?,prov-ny-00107,,"Discomfort with Jeuveau is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Jeuveau,New York,forum,https://injector.world/fake-dataset/qa/33,2026-02-24
qa-00000034,How long does Microneedling last?,A patient asks: how long does microneedling last?,prov-fl-00125,,"For most patients Microneedling results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Microneedling,Miami,forum,https://injector.world/fake-dataset/qa/34,2025-06-07
qa-00000035,How long does Kybella last?,A patient asks: how long does kybella last?,prov-fl-00134,,"For most patients Kybella results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Kybella,Miami,directory,https://injector.world/fake-dataset/qa/35,2025-12-31
qa-00000036,Am I a good candidate for Botox?,A patient asks: am i a good candidate for botox?,prov-fault-00949,,A good candidate for Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Botox,San Diego,directory,https://injector.world/fake-dataset/qa/36,2025-04-06
qa-00000037,How long does Jeuveau last?,A patient asks: how long does jeuveau last?,prov-ca-00041,,"For most patients Jeuveau results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Jeuveau,San Diego,directory,https://injector.world/fake-dataset/qa/37,2025-08-26
qa-00000038,Am I a good candidate for Botox?,A patient asks: am i a good candidate for botox?,,Dr. Sarah Bennett,A good candidate for Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Botox,Orlando,clinic_blog,https://injector.world/fake-dataset/qa/38,2026-01-13
qa-00000039,Does Dysport hurt?,A patient asks: does dysport hurt?,,Dr. Ruben Pearce,"Discomfort with Dysport is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Dysport,San Diego,clinic_blog,https://injector.world/fake-dataset/qa/39,2026-03-22
qa-00000040,Is there downtime after Kybella?,A patient asks: is there downtime after kybella?,,Dr. Maya Harlow,Downtime for Kybella is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Kybella,Los Angeles,forum,https://injector.world/fake-dataset/qa/40,2025-03-08
qa-00000041,How long does Cheek Filler last?,A patient asks: how long does cheek filler last?,prov-ny-00093,,"For most patients Cheek Filler results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Cheek Filler,New York,forum,https://injector.world/fake-dataset/qa/41,2026-02-26
qa-00000042,How long does Xeomin last?,A patient asks: how long does xeomin last?,prov-fl-00143,,"For most patients Xeomin results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Xeomin,Miami,directory,https://injector.world/fake-dataset/qa/42,2026-01-01
qa-00000043,Does Thread Lift hurt?,A patient asks: does thread lift hurt?,prov-ca-00012,,"Discomfort with Thread Lift is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Thread Lift,San Francisco,directory,https://injector.world/fake-dataset/qa/43,2025-02-05
qa-00000044,Does Kybella hurt?,A patient asks: does kybella hurt?,prov-fl-00150,,"Discomfort with Kybella is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Kybella,Miami,clinic_blog,https://injector.world/fake-dataset/qa/44,2025-05-23
qa-00000045,Is there downtime after Masseter Botox?,A patient asks: is there downtime after masseter botox?,prov-ny-00097,,Downtime for Masseter Botox is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Masseter Botox,New York,forum,https://injector.world/fake-dataset/qa/45,2026-02-08
qa-00000046,Am I a good candidate for Lip Filler?,A patient asks: am i a good candidate for lip filler?,prov-ny-00112,,A good candidate for Lip Filler is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Lip Filler,New York,forum,https://injector.world/fake-dataset/qa/46,2025-03-09
qa-00000047,Does Thread Lift hurt?,A patient asks: does thread lift hurt?,,Dr. Omar Ibrahim,"Discomfort with Thread Lift is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Thread Lift,Fort Worth,forum,https://injector.world/fake-dataset/qa/47,2025-05-31
qa-00000048,Is there downtime after Daxxify?,A patient asks: is there downtime after daxxify?,,Dr. Anya Delgado,Downtime for Daxxify is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Daxxify,San Francisco,forum,https://injector.world/fake-dataset/qa/48,2025-12-17
qa-00000049,Am I a good candidate for Masseter Botox?,A patient asks: am i a good candidate for masseter botox?,,Dr. Anya Allen,A good candidate for Masseter Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Masseter Botox,Fort Worth,forum,https://injector.world/fake-dataset/qa/49,2025-03-31
qa-00000050,How long does Microneedling last?,A patient asks: how long does microneedling last?,,Dr. Renee Bauer,"For most patients Microneedling results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Microneedling,San Diego,forum,https://injector.world/fake-dataset/qa/50,2026-01-03
